,E13DBetn02r04r1,E13DBetn02r04r2,E13DBetn02r04r3,E13DBetn02r04r4
2007,83.159,82.675,88.847,81.471
2008,36.784,41.936,20.624,25.911
2009,35.041,20.993,37.751,53.344
2010,37.692,37.751,50.529,55.063
2011,49.668,33.91,21.5,59.159
2012,85.789,72.698,61.261,130.464
2013,71.413,37.923,37.437,67.115
2014,49.588,41.39,24.559,55.756
2015,73.071,36.267,3.727,103.377
2016,126.509,51.733,3.351,109.504
2017,131.475,90.841,51.197,162.678
2018,176.208,141.766,111.764,219.576
2019,103.502,55.459,83.053,140.244
2020,50.012,3.843,6.03,37.535
